0	Unclassified
4071	k__Bacteria
173	k__Bacteria	p__Bacillota
209	k__Bacteria	p__Bacillota	c__Bacilli
1184	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales
3803	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae
99	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Ectobacillus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Diaminobutyricibacter	s__Diaminobutyricibacter_tongyongensis
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Candidatus_Lumbricidophila
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Candidatus_Lumbricidophila	s__Candidatus_Lumbricidophila_eiseniae
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae
4	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas
43	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_algicola
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_aerilata
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_sp._Root485
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_sp._NS3
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_fimi
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_flavigena
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__uncultured_Cellulomonas_sp.
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_pakistanensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_dongxiuzhuiae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Actinotalea
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Actinotalea	s__Actinotalea_sp._K2
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Actinotalea	s__Actinotalea_sp._M2MS4P-6
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Actinotalea	s__Actinotalea_fermentans
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Actinotalea	s__Actinotalea_caeni
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Paraoerskovia
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Paraoerskovia	s__Paraoerskovia_marina
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Pseudactinotalea
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Pseudactinotalea	s__Pseudactinotalea_suaedae
5	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Intrasporangium
8	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Intrasporangium	s__Intrasporangium_calvum
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Intrasporangium	s__Intrasporangium_sp.
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__Phycicoccus_sp._HDW14
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__Phycicoccus_sp._Soil748
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__Phycicoccus_endophyticus
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__Phycicoccus_flavus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__Phycicoccus_duodecadis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__uncultured_Phycicoccus_sp.
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Knoellia
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Knoellia	s__Knoellia_sp._p5-6-4
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Knoellia	s__Knoellia_sp._DB2414S
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Knoellia	s__Knoellia_sinensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Knoellia	s__Knoellia_locipacati
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Tetrasphaera
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Tetrasphaera	s__Tetrasphaera_jenkinsii
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Tetrasphaera	s__Tetrasphaera_japonica
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Tetrasphaera	s__Tetrasphaera_sp._F2B08
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	s__Janibacter_cremeus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	s__Janibacter_corallicola
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Ornithinicoccus
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Ornithinicoccus	s__Ornithinicoccus_hortensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Ornithinicoccus	s__Ornithinicoccus_halotolerans
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Humibacillus
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Humibacillus	s__Humibacillus_xanthopallidus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Terrabacter
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Terrabacter	s__Terrabacter_tumescens
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Ornithinibacter
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Ornithinibacter	s__Ornithinibacter_aureus
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Segeticoccus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Segeticoccus	s__Segeticoccus_rhizosphaerae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Pedococcus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Pedococcus	s__Pedococcus_dokdonensis
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Ornithinimicrobium
7	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Ornithinimicrobium	s__Ornithinimicrobium_avium
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Ornithinimicrobium	s__Ornithinimicrobium_cerasi
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Ornithinimicrobium	s__Ornithinimicrobium_sediminis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Ornithinimicrobium	s__Ornithinimicrobium_flavum
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Ornithinimicrobium	s__Ornithinimicrobium_sp._CNJ-824
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Serinicoccus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Serinicoccus	s__Serinicoccus_sediminis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ornithinimicrobiaceae	g__Serinicoccus	s__Serinicoccus_kebangsaanensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Promicromonospora
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Promicromonospora	s__Promicromonospora_sp._AC04
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Promicromonospora	s__Promicromonospora_sp._MEB111
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Promicromonospora	s__Promicromonospora_kroppenstedtii
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__Cellulosimicrobium_protaetiae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	s__Isoptericola_halotolerans
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	s__Isoptericola_chiayiensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	s__Isoptericola_cucumis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Myceligenerans
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Myceligenerans	s__Myceligenerans_xiligouense
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimonas
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimonas	s__uncultured_Xylanimonas_sp.
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Xylanibacterium
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Xylanibacterium	s__Xylanibacterium_ulmi
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Krasilnikoviella
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Promicromonosporaceae	g__Krasilnikoviella	s__Krasilnikoviella_flava
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium
6	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp._PAMC21349
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp._PAMC23299
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp._JNUCC-42
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_aurantiacum
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_siliguriense
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_sp._SGAir0954
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_sp._YJGR34
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_sp._Marseille-Q7125
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_equifaecis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_faecium
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_paraconglomeratum
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_fresconis
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae	g__Georgenia
5	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__Georgenia_sp._TF02-10
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__Georgenia_sp._EYE_87
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__Georgenia_muralis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__Georgenia_thermotolerans
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__Georgenia_yuyongxinii
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Mobilicoccus
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Mobilicoccus	s__Mobilicoccus_pelagius
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Austwickia
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Austwickia	s__Austwickia_chelonae
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Austwickia	s__Austwickia_sp._TVS_96-490-7B
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Agilicoccus
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermatophilaceae	g__Agilicoccus	s__Agilicoccus_flavus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Luteipulveratus
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Luteipulveratus	s__Luteipulveratus_mongoliensis
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Yimella
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Yimella	s__Yimella_sp._cx-51
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Leekyejoonella
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Leekyejoonella	s__Leekyejoonella_antrihumi
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Demequinaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Demequinaceae	g__Demequina
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Demequinaceae	g__Demequina	s__Demequina_sp._NBRC_110052
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Demequinaceae	g__Demequina	s__Demequina_flava
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Demequinaceae	g__Demequina	s__Demequina_soli
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae	g__Occultella
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae	g__Occultella	s__Occultella_kanbiaonis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae	g__Occultella	s__Occultella_gossypii
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae	g__Ruania
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae	g__Ruania	s__Ruania_halotolerans
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Ruaniaceae	s__Ruaniaceae_bacterium_KH17
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Kytococcaceae
5	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Kytococcaceae	g__Kytococcus
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	s__Sanguibacter_gelidistatuariae
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	s__Micrococcales_bacterium_KH10
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Jonesiaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Jonesiaceae	g__Jonesia
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Jonesiaceae	g__Jonesia	s__Jonesia_denitrificans
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Beutenbergiaceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Beutenbergiaceae	g__Beutenbergia
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Beutenbergiaceae	g__Beutenbergia	s__Beutenbergia_cavernae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Rarobacteraceae
0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Rarobacteraceae	g__Rarobacter
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Rarobacteraceae	g__Rarobacter	s__Rarobacter_faecitabidus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales
14	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae
28	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides
11	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp.
6	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._JQ2195
5	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._BP30
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._AX2bis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._Root190
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._YR527
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._616
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._HDW12B
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._zg-DK7169
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._OK12
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._DJM-14
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._cx-173
12	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_acrostichi
7	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_guangzhouensis
5	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_gansuensis
5	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_speluncae
4	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__uncultured_Nocardioides_sp.
3	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_astragali
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_albus
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_mesophilus
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_soli
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_deserti
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_immobilis
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_silvaticus
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_piscis
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_panacis
2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_jiangsuensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_jensenii
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_luteus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_islandensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_agariphilus
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_dokdonensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_daedukensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_rubriscoriae
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_panzhihuensis
1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_massiliensis
